,asset,price,lqdt,divd,dy,dy3ac,dy6ac,dy12ac,dy3m,dy6m,dy12m,dyy,price_delta,profitability,profitability_ac,liq_patr,vpa,pvp,dyp,patr_delta,sector_none,sector_hosp,sector_hotel,sector_hbd,sector_corp,sector_log,sector_other,sector_resd,sector_shop,sector_title
90,FAED11,137.94,381.0,1.536692516,1.12660741642229,3.19680475440444,6.09907339435095,10.7885106123396,1.06560158480148,1.01651223239183,0.899042551028301,6.09907339435096,-7.20457173957412,-6.15913156269134,0.188717771282598,138823482.78,216.179384,0.6380811964937415,0.707691869452269,-0.00752836574055005,0,0,0,0,0,0,1,0,0,0
91,MCCI11,98.4,30056.0,1.1,1.11663790478124,3.10997120963886,6.06225814328716,11.9517092542172,1.03665706987962,1.01037635721453,0.995975771184769,5.09279619466865,-1.58841158841158,-0.48951048951047,2.10867936885308,1210958902.24,97.522066,1.00900241387421,1.02540895718924,0.727941236696195,0,0,0,0,0,0,0,0,0,1
92,XPCI11,94.0,21006.0,1.05,1.11075848936845,3.6178210152462,7.07820343553107,12.9291685594877,1.2059403384154,1.17970057258851,1.07743071329064,7.07820343553107,-0.284810126582269,0.822784810126587,3.75589307927808,842397396.03,96.810017,0.9709739024216885,1.26020017122815,-0.543705614515899,0,0,0,0,0,0,1,0,0,0
93,BBPO11,80.0,13108.0,0.89,1.10903426791277,3.21131901285992,6.13942439263895,11.5396668076206,1.07043967095331,1.02323739877316,0.961638900635047,6.13942439263894,-4.17910447761194,-3.11641791044776,-9.09571233976424,1512931778.94,95.035254,0.8417928782512646,0.936494577054532,-0.896125631279099,0,0,0,0,1,0,0,0,0,0
94,BLMR11,7.18,54894.0,0.0778227377031145,1.09609489722696,3.11358067849732,6.08255932607557,11.404819368943,1.03786022616577,1.01375988767926,0.950401614078582,6.08255932607557,-4.4414535666218,-3.39404121530127,-5.59510543348726,211636911.87,8.28596,0.8665260271591946,0.90514557154512,-1.12859048973206,0,0,0,0,0,0,0,0,0,1
95,DVFF11,70.0,4069.0,0.77,1.0931289040318,3.30517239904708,5.90225945519063,0.0,1.10172413301569,0.983709909198438,0.0,5.90225945519063,0.485021398002861,1.58345221112697,-15.1223937722842,101357430.47,92.063609,0.7603438618184086,0.868964413506753,-0.0737065913471002,0,0,0,1,0,0,0,0,0,0
96,PQDP11,1990.0,41.0,21.521254182,1.07713984894895,2.14851451296683,4.13513101128532,8.23395852560993,0.716171504322277,0.689188501880887,0.686163210467494,3.72418661110351,0.654911838790939,1.73910600413099,2.19246911134439,800467303.08,3356.580731,0.5928652278853829,0.447278779096346,-0.0638103349883345,0,0,0,0,0,0,0,0,1,0
97,HCHG11,80.5,113.0,0.875,1.06733349597463,3.18241051343776,5.95350786676203,0.0,1.06080350447925,0.992251311127005,0.0,5.95350786676204,-1.20510966497951,-0.15063870812243,-1.6916350531369,124082191.95,103.401827,0.7785162248632223,0.846213287894807,0.403951752034493,0,0,0,0,0,0,1,0,0,0
98,TRXF11,98.1,10569.0,1.05,1.06729009961374,2.72825449866335,5.11351610423131,9.66538690931858,0.909418166221115,0.852252684038552,0.805448909109881,5.11351610423131,-0.425101214574897,0.637651821862351,2.08953534445246,708147194.5,97.745474,1.0036270323882208,0.869605481681945,-1.00380911431212,0,0,0,0,0,0,1,0,0,0
99,XPCM11,14.6,2120.0,0.16,1.06666666666667,3.19071669734114,5.94559503982934,10.3717190600492,1.06357223244705,0.990932506638223,0.864309921670764,5.94559503982933,-8.75912408759125,-7.78588807785889,-16.8103902900027,129112080.33,53.47208,0.2730396872536097,0.336624271956505,-0.57156944303669,0,0,0,0,1,0,0,0,0,0
