# PORTIFOLIO ALLOCATION PROBLEM - DATA
param n_assets := 250;
param asset_data: price	lqdt	divd	dy	dy3ac	dy6ac	dy12ac	dy3m	dy6m	dy12m	dyy	price_delta	profitability	profitability_ac	liq_patr	vpa	pvp	dyp	patr_delta	sector_none	sector_hosp	sector_hotel	sector_hbd	sector_corp	sector_log	sector_other	sector_resd	sector_shop	sector_title :=
142 107.8	11154.0	0.93	0.851882385270679	2.49113212057759	4.77014136991023	9.04719798998023	0.830377373525864	0.795023561651704	0.753933165831686	4.05273104620069	-0.464989059080967	0.382932166301964	-2.34824706990292	1012027467.97	130.442319	0.8264189170080608	0.712958805953151	-0.0649305920608634	0	0	0	0	0	1	0	0	0	0 #GGRC11
143 97.99	1.0	0.83	0.851282051282051	2.48957638242017	4.82868703376808	8.97310710240879	0.829858794140057	0.80478117229468	0.747758925200733	4.02624924809007	-1.35572642654797	-0.51598543099961	-0.490936961985611	99158182.73	100.719332	0.9729016074093899	0.794286443440669	0.074480071275107	0	0	0	1	0	0	0	0	0	0 #FATN11
144 57.52	11710.0	0.5018	0.850508474576271	2.41497817154597	4.65583571924475	8.98849726613087	0.804992723848656	0.775972619874125	0.749041438844239	3.9036527670618	-5.44871794871795	-4.64455128205129	-12.347278872753	789124446.38	96.477683	0.5962000559238141	0.520120285226999	-0.35017508496028	0	0	0	1	0	0	0	0	0	0 #RECT11
145 7.01	19835.0	0.06	0.848656294200849	2.61115764356278	5.13848144591218	9.93654284950217	0.870385881187592	0.856413574318697	0.828045237458514	4.27573634787297	-1.66898470097357	-0.834492350486782	-5.4384708810454	72445994.24	8.955902	0.7827240628582135	0.669949269208171	-0.756457715870906	0	0	0	0	0	0	0	0	0	1 #VIFI11
146 64.0	49481.0	0.54	0.846527668913623	2.44379093048518	4.76878300791343	8.78090636102669	0.814596976828394	0.794797167985571	0.731742196752224	3.99657360819792	-4.54885530450396	-3.74083495436182	-7.41913216636832	1971239952.12	78.266115	0.8177229698957206	0.689953755849514	-0.228384701120043	0	0	0	0	0	0	0	0	0	1 #BCFF11
147 70.81	4492.0	0.62	0.845147219193021	2.52215104518843	4.86697828086542	8.97042559648465	0.840717015062808	0.811163046810904	0.747535466373721	4.10221034837597	-3.0527289546716	-2.23338178934849	0.5515116950082	256100841.42	89.433269	0.791763521469846	0.693254319038701	-0.166531498825251	0	0	0	0	0	0	0	0	0	1 #HGFF11
148 93.7	665.0	0.8	0.842371275139518	2.42768881749446	5.3131133772601	10.1567791404845	0.809229605831487	0.885518896210017	0.846398261707042	3.9999820641288	-5.02050205020501	-4.22042204220422	-3.39194566260174	237060611.85	116.600624	0.8035977577615708	0.686102674716389	0.131443714823698	0	0	0	1	0	0	0	0	0	0 #NEWL11
149 71.7	14586.0	0.62	0.838064341713977	2.51898704065387	5.19916708245837	9.75196846345476	0.839662346884625	0.866527847076395	0.81266403862123	4.28328713318403	-3.77211238293443	-2.9656607700312	6.8856655779812	911210974.25	98.676468	0.726617008626616	0.628315962829152	-0.190971001425055	0	0	0	1	0	0	0	0	0	0 #SARE11
150 46.95	6463.0	0.4	0.835421888053467	2.44204871623703	4.73678787563811	9.22940780437857	0.814016238745678	0.789464645939685	0.769117317031547	3.20928665964078	0.545989080218412	1.38597228055442	-1.48427362235668	300831716.41	59.688833	0.7865792919757705	0.653388549245049	-0.0296064867968293	0	0	0	0	0	0	1	0	0	0 #QAGR11
151 53.74	19525.0	0.45	0.830564784053156	2.39854885407776	4.68043765276999	9.59962147470955	0.799516284692588	0.780072942128331	0.799968456225796	3.86562283795518	-7.43208610968734	-6.66324961558175	-12.1575583779778	565410376.25	77.28228	0.6953728590823148	0.582280957549389	-1.53780216383662	0	0	0	0	0	0	1	0	0	0 #XPPR11
152 89.27	12788.0	0.76	0.829513206723423	2.49874327285999	5.05595694817127	9.60133956604412	0.832914424286662	0.842659491361878	0.800111630503677	4.22180043406743	0.692383778437211	1.52764040004398	10.4669131885759	638749928.55	99.881929	0.8937552657798589	0.760898400350278	-0.690937314283813	0	0	0	0	0	1	0	0	0	0 #SDIL11
153 69.91	20527.0	0.6	0.825877494838266	2.46189124372972	4.94476484135592	9.64740079292913	0.820630414576573	0.824127473559319	0.803950066077428	4.13221455977909	1.24024526198439	2.07636566332219	4.28720497535109	1149405774.49	84.016161	0.8321018143164146	0.714015213022333	-1.83834922295694	0	0	0	0	0	0	0	0	0	1 #RBRF11
